perfil_seguidores2,numero_seguidores2
nettoodavid,58
gabrielateles75,95
marcopauloferreirade,139
aylanunes.1,164
renatarenatinhaalves1515,190
larissa_catharina__,118
thiago04638,54
lirduyipsa,42
carla.sousa9877,57
iamrenatita1,45
bleendasz,152
eliz_a2698,63
_taianamorais,84
pamella.putz,111
hemilyc_araujoo,48
frases_pra_voce12,71
academiafitt20,0
elbe.1,63
le.ti9435,47
ster3015,221
otaviobradorios,30
emillysantos8190,56
silgu89,105
kelenlopiees,322
tiozedobbb,66
subaru_natsuki18,59
udimetropole,60
jaciraorlanda,83
gumb.all2906,59
amandafariapt3,189
leticia4572021,68
ganhardinheiroemcaasa2020,639
waterpkm2020,100
camilarese,478
claudiaf3185,59
sabrinafcbueno,34
gabrielapomtes1,78
marce_llas2,34
rayssa_lemos_r,128
eu.bellatrix.lestrange,98
ayslahyana,113
dra.moniquedemello,147
fraseseversosletty,58
janetecleia37,53
tulioseg02,46
casadogscarinho,48
senku_ishigami_emc,69
gi.cavalli8,145
gustavo_2008_07,27
jowjow280,120
kemillyvictoria1,480
julianayasmin423,56
souza_looh06,43
atos2thee,120
pau_la6797,52
mendonca.estrela,50
tailara14,116
biiancabibi_,46
manueljunqueira5,60
ana.fc24,77
yoda5233,78
lvpval,852
mariahgabriela.na,45
instadogss2021,56
poetasouoficial,206
jl_lucaa,306
mari.a101020,701
gabi.maia3,232
camilalouresfc67,196
jeeh5449,45
leonina.4p,48
kaylasantoos1,38
narutoanikee,305
vidadevagueiroo,67
kane.325,128
dhereyd,45
_pontesstore,208
brunnacristinafernandess,60
alexaugusto2014,42
venom_anabolizado,63
faclubecarlu3,131
nowunitedtheboys,38
lunasoares009,70
laurafdfdd,61
catmania2021_,60
fotosss78,47
lucas.pedroferreira,119
vctentsza,134
yannvander3,33
sapatosestilosos.89,36
kaaparecida2021,58
viveeronline,102
marialecy494,32
gyseli.paiva,46
helenicefermi,23
lety_lima_melo,37
manoiago22,110
carolfrancaaze,36
katherinepetrova307,1042
bymsamara,66
ulisses_j88,164
cadelo4,70
unhasartisticas67,76
gagons2,27
annprisea,240
camargomarcelodi,49
riicaardd0,88
juliakathine6453,60
fc_marveeel,23
jamilylacerdacostha,88
pedr.ohenrique624,43
anthonylopesmidia,62
caio.caccini,259
diego_022020,175
wellingtonsant26,72
nooralamber,133
_evelynn00,106
criativedesing33,43
davi.ssantos0800,143
yuriarturfontes2001,60
rosana_fern9,1231
rafa_fx.gg,78
jogodepanela.restaurante,62
fc_gi_ju_sarah,104
kamilyshan,2771
jessicaselestina,49
giovannahyyv,71
yeapzebra,32
anna__7826,108
felipe3144,62
_music.alive,132
melfreitas23,1384
larissaamorim19,790
camilalemos173,3759
sophiaferro6,442
suzanar065,58
laylarayanne1,53
maria_luisa770,75
dizutopgain2,194
dhianellebr,50
katiamoraes46,107
imroz.zy,101
dailtonsilva215,41
ff_nove9,82
paisagens_perfeitas1,64
amandacanoapi,34
stilotop12,79
sara.coradini,36
_moda_e_c.i.a,46
melbispo86,57
monstrosdobbb21,68
dogscut2021,94
ilson_567,74
nordeste_tips,80
girassolfrases79,49
vi_tor9779,33
clarasilva6542,155
pretosnotopo324,137
anabreviartizak,1129
ohshitloser,0
liandrofred,138
luciacosta370,188
paolahalv,41
leov_ini,151
brun_o3191,84
anale.ticia89,133
roberto.macedo.f,2876
jp1045065,159
patricia_1pt,105
vihnnunes1,43
kari.na3832,128
onepiecemerry,119
7palavradedeus7,101
nelsonian6,46
mundopt13,20
polianaantonelli1,159
lumacarvalho46,541
roberiaa_marinhho,66
matu_e03,72
sethgamblefan,603
sexshop_cleia_seducoes,104
eucarla_53,270
qplusv,57
seforalu,63
thalia.lusca1,83
higorsilva23455,622
alanafreitaass,70
laispms34,183
augustavosoares,273
pietrabitt,3957
pablovieira32,267
addidsnike88,77
calebehenry2,49
talitamellox,1011
deborah_oliveira06,358
cursosmake10,55
tata.batonslove44,83
steartrobert,58
dj_vasc_,65
josecardista,77
ulima.s,51
val_demarfrancisco,162
jeanesposito60,89
pedrogomez453gvf,96
zilean74,62
helenoliveira93,36
shaolin_matador_de_porco17,70
sophiasarah42,83
oliveiradaiane36,48
souza.brendinha,402
roupasdafillo,45
ganhando.dinheiro.onlinne,102
frutas_saudeboa,118
iagovinicius374,88
herbet152,102
pedromateus489,45
nayarapinheiro745,42
manu.eladossantos,51
anarodriguexx,48
_anamed2,75
mirellaalvs09,82
_milenabaptista,374
silvanete2426,73
binhoogomes,88
friends_memes_2021,232
chris_anjo_protetor,186
deboraaurorabrito,58
carolmoraes005,156
marrcosvinni,28
luizabeatri2,96
fm22911,29
_sigo_de_volta_17,705
melcastro33,140
rickdadimensao666,132
weslensousa195,56
sarahandradee_fc,0
vilmaa_saoress,78
bruna97430,48
renatojorgeandrade,211
tiaopinheironascimento,191
evangeline.lukov,53
pricilalavasque,134
krustyooficial,387
tiany202,160
sthe_mariaa,78
leiladaniellecastroleao,47
luanapresotti,71
licaaa61,52
mpb_brasil_fc,205
leticiagomes559,168
gabvipas,3025
cleanesilves,115
emanuelllygarcia,59
meninoney_89,124
michelle.fonseca552,113
difa24s,26
triangulodelivery3,113
laurasampaio02,84
negaruba21,149
annabeatriz0221,100
mayconlesa,79
biatrizpamp,36
queenbeyfc,97
compartilhand0_memes,52
martasytz,158
gogl75856,34
simo.ne3368,53
pagodinho_.4,248
luanaguerra2209,129
memoria.de.elefante.oficial,65
zeliaarchanjo,80
bezemabb,52
_day.lopess_,69
zezinho_.play,45
cleivison_2,122
simonemendd,83
carlapacheco129,47
palmeiras19141,41
metadinhass4,40
joaool11,124
danilopeixoto55,95
narutonime51,58
